Source,depth of cut (mm),cutting speed (m/menit),feed (mm/rev),tool nose radius (mm),workpiece hardness (brinell),Ra (mikrometer)
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,1,150,0.11,0.8,580,1.4087
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,1,150,0.11,1.2,580,1.1837
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,0.3,150,0.24,0.8,580,2.7557
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,0.3,150,0.24,1.2,580,1.877
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,1,150,0.24,0.8,580,3.6213
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,1,150,0.24,1.2,580,3.5837
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,0.3,210,0.11,0.8,580,1.5187
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,0.3,210,0.11,1.2,580,1.0227
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,1,210,0.11,0.8,580,1.3647
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,1,210,0.11,1.2,580,1.0693
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,0.3,210,0.24,0.8,580,2.6793
https://www.researchgate.net/profile/Ali-Motorcu/publication/228459474_The_Optimization_of_Machining_Parameters_Using_the_Taguchi_Method_for_Surface_Roughness_of_AISI_8660_Hardened_Alloy_Steel/links/555087f008ae12808b3812d2/The-Optimization-of-Machining-Parameters-Using-the-Taguchi-Method-for-Surface-Roughness-of-AISI-8660-Hardened-Alloy-Steel.pdf,0.3,210,0.24,1.2,580,1.8183
